Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
382,57*,1,1,0,0,v Bermuda,Port of Spain,19-Mar-07,ODI # 2542,
383,0,1,40,0,0,v Sri Lanka,Port of Spain,23-Mar-07,ODI # 2550,
384,4,1,24,0,0,v Ireland,Belfast,23-Jun-07,ODI # 2590,
385,99,-,-,1,0,v South Africa,Belfast,26-Jun-07,ODI # 2592,
386,93,0,10,0,0,v South Africa,Belfast,29-Jun-07,ODI # 2593,
387,8,2,10,0,0,v South Africa,Belfast,1-Jul-07,ODI # 2595,
388,17,0,29,0,0,v England,Southampton,21-Aug-07,ODI # 2611,
389,99,-,-,0,0,v England,Bristol,24-Aug-07,ODI # 2613,
390,8,-,-,0,0,v England,Birmingham,27-Aug-07,ODI # 2616,
391,55,0,4,0,0,v England,Manchester,30-Aug-07,ODI # 2617,
392,71,0,35,0,0,v England,Leeds,2-Sep-07,ODI # 2618,
393,94,0,12,0,0,v England,The Oval,5-Sep-07,ODI # 2619,
394,30,-,-,0,0,v England,Lord's,8-Sep-07,ODI # 2620,
395,0,-,-,1,0,v Australia,Bengaluru,29-Sep-07,ODI # 2621,
396,16,0,22,1,0,v Australia,Kochi,2-Oct-07,ODI # 2623,
397,43,0,22,0,0,v Australia,Hyderabad,5-Oct-07,ODI # 2625,
398,79,-,-,0,0,v Australia,Chandigarh,8-Oct-07,ODI # 2627,
399,47,0,11,0,0,v Australia,Vadodara,11-Oct-07,ODI # 2629,
400,72,0,20,1,0,v Australia,Nagpur,14-Oct-07,ODI # 2631,
401,21,-,-,1,0,v Australia,Wankhede,17-Oct-07,ODI # 2632,
402,4,2,32,0,0,v Pakistan,Guwahati,5-Nov-07,ODI # 2643,
403,99,0,11,0,0,v Pakistan,Mohali,8-Nov-07,ODI # 2644,
404,29,0,11,0,0,v Pakistan,Kanpur,11-Nov-07,ODI # 2645,
405,97,-,-,0,0,v Pakistan,Gwalior,15-Nov-07,ODI # 2646,
406,30,-,-,0,0,v Pakistan,Jaipur,18-Nov-07,ODI # 2647,
407,10,-,-,0,0,v Australia,Brisbane,3-Feb-08,ODI # 2670,
408,35,-,-,-,-,v Sri Lanka,Brisbane,5-Feb-08,ODI # 2672,
409,44,0,6,2,0,v Australia,Melbourne,10-Feb-08,ODI # 2675,
410,32,0,15,0,0,v Sri Lanka,Canberra,12-Feb-08,ODI # 2676,
411,5,-,-,0,0,v Australia,Adelaide,17-Feb-08,ODI # 2680,
412,0,-,-,0,0,v Sri Lanka,Adelaide,19-Feb-08,ODI # 2681,
413,2,-,-,0,0,v Australia,Sydney,24-Feb-08,ODI # 2685,
414,63,-,-,0,0,v Sri Lanka,Hobart,26-Feb-08,ODI # 2686,
415,117*,-,-,0,0,v Australia,Sydney,2-Mar-08,ODI # 2688,
416,91,-,-,0,0,v Australia,Brisbane,4-Mar-08,ODI # 2689,
417,11,-,-,2,0,v England,Bengaluru,23-Nov-08,ODI # 2781,
418,50,-,-,2,0,v England,Cuttack,26-Nov-08,ODI # 2783,
419,5,-,-,0,0,v Sri Lanka,Dambulla,28-Jan-09,ODI # 2806,
420,6,-,-,1,0,v Sri Lanka,Colombo (RPS),31-Jan-09,ODI # 2810,
421,7,0,11,1,0,v Sri Lanka,Colombo (RPS),3-Feb-09,ODI # 2813,
422,20,-,-,1,0,v New Zealand,Napier,3-Mar-09,ODI # 2821,
423,61,-,-,-,-,v New Zealand,Wellington,6-Mar-09,ODI # 2822,
424,163*,-,-,0,0,v New Zealand,Christchurch,8-Mar-09,ODI # 2823,
425,46,-,-,0,0,v New Zealand,Colombo (RPS),11-Sep-09,ODI # 2886,
426,27,-,-,0,0,v Sri Lanka,Colombo (RPS),12-Sep-09,ODI # 2887,
427,138,-,-,0,0,v Sri Lanka,Colombo (RPS),14-Sep-09,ODI # 2889,
428,8,-,-,0,0,v Pakistan,Centurion,26-Sep-09,ODI # 2898,
429,TDNB,-,-,1,0,v Australia,Centurion,28-Sep-09,ODI # 2901,
430,14,-,-,0,0,v Australia,Vadodara,25-Oct-09,ODI # 2913,
431,4,-,-,1,0,v Australia,Nagpur,28-Oct-09,ODI # 2915,
432,32,-,-,0,0,v Australia,Delhi,31-Oct-09,ODI # 2918,
433,40,-,-,0,0,v Australia,Mohali,2-Nov-09,ODI # 2919,
434,175,-,-,1,0,v Australia,Hyderabad,5-Nov-09,ODI # 2923,
435,10,0,11,0,0,v Australia,Guwahati,8-Nov-09,ODI # 2925,
436,69,-,-,1,0,v Sri Lanka,Rajkot,15-Dec-09,ODI # 2932,
437,43,-,-,0,0,v Sri Lanka,Nagpur,18-Dec-09,ODI # 2933,
438,96*,-,-,0,0,v Sri Lanka,Cuttack,21-Dec-09,ODI # 2934,
439,8,-,-,1,0,v Sri Lanka,Kolkata,24-Dec-09,ODI # 2935,
440,4,-,-,0,0,v South Africa,Jaipur,21-Feb-10,ODI # 2961,
441,200*,-,-,0,0,v South Africa,Gwalior,24-Feb-10,ODI # 2962,
442,7,-,-,0,0,v South Africa,Durban,12-Jan-11,ODI # 3079,
443,24,-,-,0,0,v South Africa,Johannesburg,15-Jan-11,ODI # 3080,
444,28,-,-,0,0,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100,
445,120,-,-,0,0,v England,Bengaluru,27-Feb-11,ODI # 3110,
446,38,-,-,0,0,v Ireland,Bengaluru,6-Mar-11,ODI # 3121,
447,27,-,-,0,0,v Netherlands,Delhi,9-Mar-11,ODI # 3124,
448,111,-,-,1,0,v South Africa,Nagpur,12-Mar-11,ODI # 3128,
449,2,-,-,0,0,v West Indies,Chennai,20-Mar-11,ODI # 3141,
450,53,0,9,0,0,v Australia,Ahmedabad,24-Mar-11,ODI # 3143,
451,85,-,-,1,0,v Pakistan,Mohali,30-Mar-11,ODI # 3147,
452,18,0,12,0,0,v Sri Lanka,Wankhede,2-Apr-11,ODI # 3148,
453,2,-,-,0,0,v Australia,Melbourne,5-Feb-12,ODI # 3231,
454,48,-,-,1,0,v Sri Lanka,Perth,8-Feb-12,ODI # 3233,
455,15,-,-,0,0,v Sri Lanka,Adelaide,14-Feb-12,ODI # 3239,
456,3,-,-,1,0,v Australia,Brisbane,19-Feb-12,ODI # 3244,
457,22,-,-,1,0,v Sri Lanka,Brisbane,21-Feb-12,ODI # 3246,
458,14,-,-,0,0,v Australia,Sydney,26-Feb-12,ODI # 3250,
459,39,-,-,0,0,v Sri Lanka,Hobart,28-Feb-12,ODI # 3251,
460,6,-,-,1,0,v Sri Lanka,Mirpur,,13-Mar-12,ODI # 3259
461,114,-,-,0,0,v Bangladesh,Mirpur,,16-Mar-12,ODI # 3261
462,52,0,12,0,0,v Pakistan,Mirpur,,18-Mar-12,ODI # 3263
