Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
161,0,-,-,2,0,v Pakistan,Toronto,18-Sep-97,ODI # 1230,
162,6,-,-,1,0,v Pakistan,Toronto,20-Sep-97,ODI # 1231,
163,51,-,-,2,0,v Pakistan,Toronto,21-Sep-97,ODI # 1232,
164,2,0,11,2,0,v Pakistan,Hyderabad,28-Sep-97,ODI # 1233,
165,21,0,7,0,0,v Pakistan,Karachi,30-Sep-97,ODI # 1234,
166,7,-,-,1,0,v Pakistan,Lahore,2-Oct-97,ODI # 1236,
167,91,0,24,1,0,v England,Sharjah,11-Dec-97,ODI # 1259,
168,3,-,-,0,0,v Pakistan,Sharjah,14-Dec-97,ODI # 1262,
169,1,0,17,0,0,v West Indies,Sharjah,16-Dec-97,ODI # 1264,
170,82*,-,-,0,0,v Sri Lanka,Guwahati,22-Dec-97,ODI # 1267,
171,TDNB,-,-,0,0,v Sri Lanka,Indore,25-Dec-97,ODI # 1268,
172,6,0,7,0,0,v Sri Lanka,Margao,28-Dec-97,ODI # 1269,
173,54,0,13,2,0,v Bangladesh,Dhaka,10-Jan-98,ODI # 1271,
174,67,1,24,4,0,v Pakistan,Dhaka,11-Jan-98,ODI # 1273,
175,95,3,45,0,0,v Pakistan,Dhaka,14-Jan-98,ODI # 1276,
176,1,0,17,0,0,v Pakistan,Dhaka,16-Jan-98,ODI # 1277,
177,41,1,49,0,0,v Pakistan,Dhaka,18-Jan-98,ODI # 1279,
178,8,5,32,1,0,v Australia,Kochi,1-Apr-98,ODI # 1300,
179,5,1,36,0,0,v Zimbabwe,Vadodara,5-Apr-98,ODI # 1305,
180,100,0,19,0,0,v Australia,Kanpur,7-Apr-98,ODI # 1308,
181,1,0,20,0,0,v Zimbabwe,Cuttack,9-Apr-98,ODI # 1311,
182,15,0,13,1,0,v Australia,Delhi,14-Apr-98,ODI # 1316,
183,40,0,13,0,0,v New Zealand,Sharjah,17-Apr-98,ODI # 1319,
184,80,0,21,0,0,v Australia,Sharjah,19-Apr-98,ODI # 1322,
185,38,1,28,0,0,v New Zealand,Sharjah,20-Apr-98,ODI # 1323,
186,143,1,27,0,0,v Australia,Sharjah,22-Apr-98,ODI # 1325,
187,134,0,12,0,0,v Australia,Sharjah,24-Apr-98,ODI # 1327,
188,33,2,8,0,0,v Bangladesh,Wankhede,25-May-98,ODI # 1335,
189,18,0,34,0,0,v Kenya,Gwalior,28-May-98,ODI # 1336,
190,100*,0,4,0,0,v Kenya,Kolkata,31-May-98,ODI # 1337,
191,65,0,17,0,0,v Sri Lanka,Colombo (RPS),19-Jun-98,ODI # 1338,
192,53,1,32,0,0,v New Zealand,Colombo (RPS),23-Jun-98,ODI # 1340,
193,17,-,-,1,0,v Sri Lanka,Colombo (SSC),1-Jul-98,ODI # 1341,
194,TDNB,-,-,1,0,v New Zealand,Colombo (SSC),3-Jul-98,ODI # 1342,
195,128,0,13,0,0,v Sri Lanka,Colombo (RPS),7-Jul-98,ODI # 1344,
196,77,-,-,0,0,v Pakistan,Toronto,20-Sep-98,ODI # 1353,
197,127*,-,-,1,0,v Zimbabwe,Bulawayo,26-Sep-98,ODI # 1354,
198,29,0,11,0,0,v Zimbabwe,Bulawayo,27-Sep-98,ODI # 1355,
199,2,0,30,0,0,v Zimbabwe,Harare,30-Sep-98,ODI # 1356,
200,141,4,38,1,0,v Australia,Dhaka,28-Oct-98,ODI # 1360,
201,8,2,29,1,0,v West Indies,Dhaka,31-Oct-98,ODI # 1363,
202,3,0,17,0,0,v Sri Lanka,Sharjah,6-Nov-98,ODI # 1366,
203,118*,0,4,0,0,v Zimbabwe,Sharjah,8-Nov-98,ODI # 1369,
204,18,-,-,0,0,v Sri Lanka,Sharjah,9-Nov-98,ODI # 1370,
205,11,1,14,0,0,v Zimbabwe,Sharjah,11-Nov-98,ODI # 1373,
206,124*,1,16,1,0,v Zimbabwe,Sharjah,13-Nov-98,ODI # 1374,
207,0,1,34,0,0,v New Zealand,Taupo,9-Jan-99,ODI # 1378,
208,23,3,34,0,0,v New Zealand,Napier,12-Jan-99,ODI # 1381,
209,45,-,-,0,0,v New Zealand,Wellington,14-Jan-99,ODI # 1383,
210,5,1,29,0,0,v New Zealand,Auckland,16-Jan-99,ODI # 1385,
211,28,0,22,0,0,v South Africa,Hove,15-May-99,ODI # 1444,
212,140*,0,23,0,0,v Kenya,Bristol,23-May-99,ODI # 1457,
213,2,-,-,1,0,v Sri Lanka,Taunton,26-May-99,ODI # 1463,
214,22,-,-,0,0,v England,Birmingham,29-May-99,ODI # 1467,
215,0,0,4,0,0,v Australia,The Oval,4-Jun-99,ODI # 1473,
216,45,-,-,1,0,v Pakistan,Manchester,8-Jun-99,ODI # 1476,
217,16,0,14,0,0,v New Zealand,Nottingham,12-Jun-99,ODI # 1480,
218,14,-,-,0,0,v Australia,Galle,23-Aug-99,ODI # 1486,
219,37,-,-,0,0,v Sri Lanka,Colombo (RPS),25-Aug-99,ODI # 1487,
220,120,-,-,0,0,v Sri Lanka,Colombo (SSC),29-Aug-99,ODI # 1490,
221,85,-,-,0,0,v Zimbabwe,Singapore,4-Sep-99,ODI # 1493,
222,40,-,-,-,-,v West Indies,Singapore,7-Sep-99,ODI # 1495,
223,0,-,-,0,0,v West Indies,Singapore,8-Sep-99,ODI # 1496,
224,32,0,18,1,0,v New Zealand,Rajkot,5-Nov-99,ODI # 1522,
225,186*,-,-,1,0,v New Zealand,Hyderabad,8-Nov-99,ODI # 1523,
226,1,-,-,0,0,v New Zealand,Gwalior,11-Nov-99,ODI # 1524,
227,2,-,-,0,0,v New Zealand,Guwahati,14-Nov-99,ODI # 1525,
228,0,-,-,0,0,v New Zealand,Delhi,17-Nov-99,ODI # 1526,
229,13,-,-,0,0,v Pakistan,Brisbane,10-Jan-00,ODI # 1537,
230,12,0,23,2,0,v Australia,Melbourne,12-Jan-00,ODI # 1539,
231,1,-,-,0,0,v Australia,Sydney,14-Jan-00,ODI # 1540,
232,93,0,6,1,0,v Pakistan,Hobart,21-Jan-00,ODI # 1543,
233,41,-,-,1,0,v Pakistan,Adelaide,25-Jan-00,ODI # 1547,
234,18,1,48,0,0,v Australia,Adelaide,26-Jan-00,ODI # 1548,
235,17,-,-,2,0,v Pakistan,Perth,28-Jan-00,ODI # 1550,
236,3,-,-,1,0,v Australia,Perth,30-Jan-00,ODI # 1552,
237,26,0,44,0,0,v South Africa,Kochi,9-Mar-00,ODI # 1572,
238,21,1,39,0,0,v South Africa,Jamshedpur,12-Mar-00,ODI # 1573,
239,12,4,56,1,0,v South Africa,Faridabad,15-Mar-00,ODI # 1574,
240,122,0,43,0,0,v South Africa,Vadodara,17-Mar-00,ODI # 1575,
241,93,1,31,0,0,v South Africa,Nagpur,19-Mar-00,ODI # 1576,
242,5,0,32,0,0,v South Africa,Sharjah,22-Mar-00,ODI # 1577,
243,11,0,21,0,0,v Pakistan,Sharjah,23-Mar-00,ODI # 1578,
244,10,0,11,0,0,v Pakistan,Sharjah,26-Mar-00,ODI # 1580,
245,39,0,3,0,0,v South Africa,Sharjah,27-Mar-00,ODI # 1581,
246,36,2,24,0,0,v Bangladesh,Dhaka,30-May-00,ODI # 1597,
247,93,2,44,0,0,v Sri Lanka,Dhaka,1-Jun-00,ODI # 1598,
248,25,0,41,1,0,v Pakistan,Dhaka,3-Jun-00,ODI # 1600,
249,25,0,25,0,0,v Kenya,Nairobi (Gym),3-Oct-00,ODI # 1630,
250,38,1,31,0,0,v Australia,Nairobi (Gym),7-Oct-00,ODI # 1633,
251,39,2,32,1,0,v South Africa,Nairobi (Gym),13-Oct-00,ODI # 1638,
252,69,1,38,0,0,v New Zealand,Nairobi (Gym),15-Oct-00,ODI # 1639,
253,101,0,22,0,0,v Sri Lanka,Sharjah,20-Oct-00,ODI # 1640,
254,8,1,46,0,0,v Zimbabwe,Sharjah,22-Oct-00,ODI # 1644,
255,4,0,16,0,0,v Zimbabwe,Sharjah,26-Oct-00,ODI # 1648,
256,61,0,21,0,0,v Sri Lanka,Sharjah,27-Oct-00,ODI # 1650,
257,5,1,28,0,0,v Sri Lanka,Sharjah,29-Oct-00,ODI # 1652,
258,44,1,22,1,0,v Zimbabwe,Cuttack,2-Dec-00,ODI # 1656,
259,8,1,53,0,0,v Zimbabwe,Ahmedabad,5-Dec-00,ODI # 1657,
260,146,1,35,0,0,v Zimbabwe,Jodhpur,8-Dec-00,ODI # 1658,
261,62,-,-,0,0,v Zimbabwe,Kanpur,11-Dec-00,ODI # 1659,
262,27,-,-,0,0,v Zimbabwe,Rajkot,14-Dec-00,ODI # 1660,
263,35,-,-,0,0,v Australia,Bengaluru,25-Mar-01,ODI # 1696,
264,32,0,59,0,0,v Australia,Pune,28-Mar-01,ODI # 1698,
265,139,-,-,1,0,v Australia,Indore,31-Mar-01,ODI # 1699,
266,62,0,12,1,0,v Australia,Visakhapatnam,3-Apr-01,ODI # 1700,
267,12,3,35,0,0,v Australia,Margao,6-Apr-01,ODI # 1701,
268,70*,-,-,0,0,v Zimbabwe,Harare,24-Jun-01,ODI # 1729,
269,9,-,-,0,0,v Zimbabwe,Bulawayo,27-Jun-01,ODI # 1730,
270,81*,0,14,0,0,v West Indies,Bulawayo,30-Jun-01,ODI # 1731,
271,122*,0,11,0,0,v West Indies,Harare,4-Jul-01,ODI # 1733,
272,0,-,-,0,0,v West Indies,Harare,7-Jul-01,ODI # 1734,
273,101,0,51,0,0,v South Africa,Johannesburg,5-Oct-01,ODI # 1752,
274,38,0,21,0,0,v South Africa,Centurion,10-Oct-01,ODI # 1757,
275,DNB,-,-,0,0,v Kenya,Bloemfontein,12-Oct-01,ODI # 1758,
276,3,-,-,1,0,v Kenya,Gqeberha,17-Oct-01,ODI # 1761,
277,37,-,-,0,0,v South Africa,East London,19-Oct-01,ODI # 1762,
278,146,-,-,0,0,v Kenya,Paarl,24-Oct-01,ODI # 1764,
279,17,2,27,0,0,v South Africa,Durban,26-Oct-01,ODI # 1766,
280,36,0,23,1,0,v England,Kolkata,19-Jan-02,ODI # 1788,
281,45,0,35,0,0,v England,Cuttack,22-Jan-02,ODI # 1792,
282,68,0,8,1,0,v England,Chennai,25-Jan-02,ODI # 1795,
283,87*,0,17,1,0,v England,Kanpur,28-Jan-02,ODI # 1798,
284,18,1,45,0,0,v England,Delhi,31-Jan-02,ODI # 1800,
285,12,1,30,0,0,v England,Wankhede,3-Feb-02,ODI # 1803,
286,34*,-,-,0,0,v West Indies,Bridgetown,29-May-02,ODI # 1836,
287,65,1,20,0,0,v West Indies,Port of Spain,2-Jun-02,ODI # 1838,
288,1,-,-,0,0,v England,Lord's,29-Jun-02,ODI # 1848,
289,49,-,-,0,0,v Sri Lanka,The Oval,30-Jun-02,ODI # 1849,
290,105*,-,-,0,0,v England,Chester-le-Street,4-Jul-02,ODI # 1851,
291,19,0,18,0,0,v Sri Lanka,Birmingham,6-Jul-02,ODI # 1852,
292,36,0,9,0,0,v England,The Oval,9-Jul-02,ODI # 1854,
293,113,-,-,0,0,v Sri Lanka,Bristol,11-Jul-02,ODI # 1855,
294,14,-,-,0,0,v England,Lord's,13-Jul-02,ODI # 1856,
295,7,2,41,0,0,v Zimbabwe,Colombo (RPS),14-Sep-02,ODI # 1876,
296,9*,1,13,0,0,v England,Colombo (RPS),22-Sep-02,ODI # 1884,
297,16,0,32,0,0,v South Africa,Colombo (RPS),25-Sep-02,ODI # 1886,
298,DNB,1,36,1,0,v Sri Lanka,Colombo (RPS),29-Sep-02,ODI # 1888,
299,7*,0,36,0,0,v Sri Lanka,Colombo (RPS),30-Sep-02,ODI # 1889,
300,0,-,-,0,0,v New Zealand,Wellington,8-Jan-03,ODI # 1930,
301,1,-,-,0,0,v New Zealand,Auckland,11-Jan-03,ODI # 1933,
302,1,-,-,0,0,v New Zealand,Hamilton,14-Jan-03,ODI # 1935,
303,52,0,9,0,0,v Netherlands,Paarl,12-Feb-03,ODI # 1948,
304,36,-,-,0,0,v Australia,Centurion,15-Feb-03,ODI # 1951,
305,-,-,0,0,v Zimbabwe,Harare,19-Feb-03,ODI # 1957,,
306,152,-,-,0,0,v Namibia,Pietermaritzburg,23-Feb-03,ODI # 1964,
307,50,-,-,1,0,v England,Durban,26-Feb-03,ODI # 1969,
